Approved symbol	Previous symbols	Synonyms	NCBI Gene ID	Ensembl gene ID
MTCO2P3			100873203	ENSG00000230009
MTCO2P4				ENSG00000253977
MTCO2P5				ENSG00000231766
MTCO2P6				ENSG00000240951
MTCO2P7				ENSG00000230496
MTCO2P8				ENSG00000234234
MTCO2P9				ENSG00000249386
MTCO2P10				
MTCO2P11				ENSG00000235917
MTCO2P12				ENSG00000229344
MTCO2P13				
MTCO2P14				
MTCO2P15				ENSG00000255417
MTCO2P16				ENSG00000234842
MTCO2P17				ENSG00000233888
MTCO2P18				ENSG00000234480
MTCO2P19				ENSG00000237628
MTCO2P20				ENSG00000231576
MTCO2P21				ENSG00000236689
MTCO2P22			100289404	ENSG00000270225
MTCO2P23			107075192	ENSG00000235803
MTCO2P24				ENSG00000249990
MTCO2P25				ENSG00000230654
MTCO2P26				
MTCO2P27				ENSG00000230321
MTCO2P28				
MTCO2P29				ENSG00000243257
MTCO2P30				ENSG00000250808
MTCO2P31				ENSG00000217160
MTCO2P32				ENSG00000248951
MTCO2P33				ENSG00000217083
MTCO2P34				ENSG00000232198
MTCO3P1		U92032.1	404026	ENSG00000235040
MTCO3P2			100873207	ENSG00000232102
MTCO3P3				
MTCO3P4				ENSG00000228851
MTCO3P5				ENSG00000225476
MTCO3P6				
MTCO3P7				ENSG00000249997
MTCO3P8				ENSG00000233385
MTCO3P9				ENSG00000249698
MTCO3P10			107075152	ENSG00000231537
MTCO3P11				ENSG00000237711
MTCO3P12				ENSG00000198744
MTCO3P13				ENSG00000264316
MTCO3P14				
MTCO3P15				ENSG00000254895
MTCO3P16				ENSG00000227736
MTCO3P17				ENSG00000237542
MTCO3P18			107075215	ENSG00000227661
MTCO3P19				ENSG00000224471
MTCO3P20				ENSG00000225557
MTCO3P21				ENSG00000232752
MTCO3P22			100289371	ENSG00000270388
MTCO3P23				ENSG00000259651
MTCO3P24				ENSG00000262158
MTCO3P25				
MTCO3P26				
MTCO3P27				ENSG00000251430
MTCO3P28				ENSG00000248328
MTCO3P29				ENSG00000228069
MTCO3P30				ENSG00000229080
MTCO3P31				ENSG00000217044
MTCO3P32				
MTCO3P33				
MTCO3P34				
MTCO3P35				ENSG00000242836
MTCO3P36				
MTCO3P37				
MTCO3P38				ENSG00000242456
MTCO3P39				ENSG00000268736
MTCO3P40				ENSG00000228046
MTCO3P41			107075288	ENSG00000237466
MTCO3P42				ENSG00000268391
MTCO3P43				ENSG00000227788
MTCO3P44				ENSG00000248654
MTCO3P45				ENSG00000232128
MTCO3P46				ENSG00000235761
MTCP1		P13MTCP1, p8MTCP1	4515	ENSG00000214827
MTCSB1				
MTCSB2				
MTCSB3				
MTCYBP1			100499418	ENSG00000234179
MTCYBP2			100873168	ENSG00000217179
MTCYBP3			100873204	ENSG00000232373
MTCYBP4			100873169	ENSG00000220113
MTCYBP5			107075125	ENSG00000234671
MTCYBP6				ENSG00000230605
MTCYBP7				ENSG00000227789
MTCYBP8				ENSG00000233550
MTCYBP9				ENSG00000229935
MTCYBP10				ENSG00000233285
MTCYBP11				ENSG00000224288
MTCYBP12				ENSG00000226313
MTCYBP13				ENSG00000266529
MTCYBP14				ENSG00000238236
MTCYBP15				ENSG00000232154
MTCYBP16				ENSG00000251385
MTCYBP17				ENSG00000249247
MTCYBP18				ENSG00000244921
MTCYBP19				ENSG00000253504
MTCYBP20				ENSG00000254118
MTCYBP21				ENSG00000224747
MTCYBP22				ENSG00000270232
MTCYBP23				ENSG00000259671
MTCYBP24				ENSG00000236232
MTCYBP25				
MTCYBP26				
MTCYBP27				ENSG00000259012
MTCYBP28				ENSG00000260161
MTCYBP29			107075135	ENSG00000224880
MTCYBP30				
MTCYBP31				ENSG00000226579
MTCYBP32				ENSG00000229794
MTCYBP33				ENSG00000263241
MTCYBP34				ENSG00000237129
MTCYBP35				ENSG00000251340
MTCYBP36				ENSG00000216853
MTCYBP37				ENSG00000248765
MTCYBP38				ENSG00000226414
MTCYBP39				ENSG00000226341
MTCYBP40				ENSG00000248931
MTCYBP41				ENSG00000254650
MTCYBP42				ENSG00000228803
MTCYBP43				ENSG00000250624
MTCYBP44				ENSG00000248282
MTCYBP45				ENSG00000224338
MTDH		LYRIC, 3D3, AEG-1	92140	ENSG00000147649
MTDHP1			100418814	ENSG00000270948
MTDHP2			100418835	ENSG00000269615
MTDHP3			100418832	ENSG00000268433
MTDHP4			100418834	ENSG00000268535
MTDHP5			100418836	ENSG00000269575
MTERF1	MTERF		7978	ENSG00000127989
MTERF2	MTERFD3	FLJ14062	80298	ENSG00000120832
MTERF3	MTERFD1	CGI-12, FLJ10939	51001	ENSG00000156469
MTERF4	MTERFD2	MGC61716	130916	ENSG00000122085
MTF1			4520	ENSG00000188786
MTF2		M96, PCL2, TDRD19A	22823	ENSG00000143033
MTFMT		FMT1	123263	
MTFP1		MTP18, HSPC242	51537	ENSG00000242114
MTFR1		CHPPR, KIAA0009, FAM54A2	9650	ENSG00000066855
MTFR1L	FAM54B		56181	ENSG00000117640
MTFR2	DUFD1, FAM54A		113115	ENSG00000146410
MTG1	GTPBP7		92170	ENSG00000148824
MTG2	GTPBP5	FLJ10741, dJ1005F21.2, ObgH1	26164	ENSG00000101181
MTH1~withdrawn				
MTHFC~withdrawn				
MTHFD~withdrawn				
MTHFD1	MTHFC, MTHFD		4522	ENSG00000100714
MTHFD1L	FTHFSDC1	DKFZP586G1517, FLJ21145	25902	ENSG00000120254
MTHFD1P1	MTHFDL1, MTHFDP1		4523	ENSG00000231831
MTHFD2			10797	ENSG00000065911
MTHFD2L		MGC72244	441024	ENSG00000163738
MTHFD2P1			100287639	ENSG00000244681
MTHFD2P2				ENSG00000217169
MTHFD2P3				ENSG00000231112
MTHFD2P4			100131135	ENSG00000251253
MTHFD2P5			442707	ENSG00000213530
MTHFD2P6			100130042	ENSG00000249266
MTHFD2P7			442098	ENSG00000181260
MTHFDP1~withdrawn				
MTHFR			4524	ENSG00000177000
MTHFS		HsT19268	10588	ENSG00000136371
MTHFSD		FLJ12998	64779	
MTHPR				
MTHSP1				
MTHSP2				
MTIF2		IF-2mt	4528	ENSG00000085760
MTIF2P1			80713	ENSG00000233432
MTIF3		IF-3mt, IF3(mt)	219402	ENSG00000122033
MTL3P	MTL3		4531	
MTL4~withdrawn				
MTLN	NCRNA00116, LINC00116, SMIM37	MOXI	205251	ENSG00000175701
MTLSP				
MTM1			4534	ENSG00000171100
MTMR1			8776	ENSG00000063601
MTMR2	CMT4B	KIAA1073	8898	ENSG00000087053
MTMR3		KIAA0371, ZFYVE10, FYVE-DSP1	8897	ENSG00000100330
MTMR4		KIAA0647, ZFYVE11	9110	
MTMR6			9107	ENSG00000139505
MTMR7			9108	ENSG00000003987
MTMR8		FLJ20126	55613	ENSG00000102043
MTMR9	C8orf9, MTMR8	DKFZp434K171, LIP-STYX	66036	ENSG00000104643
MTMR9LP	MTMR9L		339483	ENSG00000220785
MTMR10		FLJ20313	54893	
MTMR11		CRA	10903	ENSG00000014914
MTMR12	PIP3AP	3-PAP, FLJ20476, KIAA1682, 3PAP	54545	ENSG00000150712
MTMR14	C3orf29	FLJ22405, FLJ90311, hJumpy, hEDTP	64419	ENSG00000163719
MTND1P1			100499468	ENSG00000226529
MTND1P2			100873170	ENSG00000235646
MTND1P3			100288984	ENSG00000239648
MTND1P4			100873171	ENSG00000230764
MTND1P5			100873174	ENSG00000253795
MTND1P6			100873173	ENSG00000254346
MTND1P7			100873172	ENSG00000282321
MTND1P8			100287461	ENSG00000263177
MTND1P9			100873221	ENSG00000228995
MTND1P10			100873343	ENSG00000229088
MTND1P11			100873212	ENSG00000228166
MTND1P12				ENSG00000225433
MTND1P13			100887745	
MTND1P14			100873337	ENSG00000227225
MTND1P15			100288998	ENSG00000264168
MTND1P16			100873213	ENSG00000239586
MTND1P17			100873342	ENSG00000228122
MTND1P18			100873338	ENSG00000225276
MTND1P19			100873220	ENSG00000251449
MTND1P20			100873339	ENSG00000226794
MTND1P21			100873340	ENSG00000235940
MTND1P22			100287591	ENSG00000251407
MTND1P23			100887749	ENSG00000225972
MTND1P24			100873341	ENSG00000257858
MTND1P25			100288950	
MTND1P26			100873214	ENSG00000234576
MTND1P27			100288227	ENSG00000223921
MTND1P28			100873215	ENSG00000230158
MTND1P29			100873216	ENSG00000237722
MTND1P30			100507157	ENSG00000238047
MTND1P31			100873217	ENSG00000235170
MTND1P32			100856881	ENSG00000232282
MTND1P33			100873218	ENSG00000235539
MTND1P34			100873219	ENSG00000225514
MTND1P35				ENSG00000255055
MTND1P36			100506721	ENSG00000253245
MTND1P37				ENSG00000283456
MTND2P1			387315	
MTND2P2			56168	ENSG00000229954
MTND2P3			100499457	ENSG00000234850
MTND2P4			100873175	ENSG00000230252
MTND2P5			100873176	ENSG00000224354
MTND2P6			100873177	ENSG00000237309
MTND2P7			100873179	ENSG00000253970
MTND2P8			100873178	ENSG00000237257
MTND2P9			100884155	ENSG00000225901
MTND2P10			100873238	
MTND2P11			100873222	ENSG00000237124
MTND2P12			100873344	ENSG00000228725
MTND2P13			100873345	ENSG00000263914
MTND2P14			100873223	ENSG00000240796
MTND2P15			100873346	ENSG00000231152
MTND2P16			100873347	ENSG00000230818
MTND2P17			100873348	ENSG00000258239
MTND2P18			100873224	ENSG00000234939
MTND2P19			100873225	ENSG00000231567
MTND2P20			100873226	ENSG00000229701
MTND2P21			100873227	ENSG00000230950
MTND2P22			100873228	ENSG00000231954
MTND2P23			100873229	ENSG00000232631
MTND2P24			100873230	ENSG00000231947
MTND2P25			100873231	ENSG00000228182
MTND2P26			100873349	ENSG00000254565
MTND2P27			100873232	
MTND2P28			100652939	ENSG00000225630
MTND2P29			100873233	ENSG00000233595
MTND2P30			100873234	ENSG00000227937
MTND2P31			100873235	ENSG00000251252
MTND2P32			100873237	ENSG00000254090
MTND2P33			100873236	ENSG00000248907
MTND2P34				
MTND2P35				
MTND2P36				
MTND2P37				
MTND2P38				ENSG00000253828
MTND2P39				ENSG00000230130
MTND2P40			107075280	ENSG00000236483
MTND2P41				ENSG00000283131
MTND3P1			100873208	ENSG00000226118
MTND3P2			100873180	ENSG00000230052
MTND3P3			100873187	ENSG00000249127
MTND3P4			100873181	ENSG00000230302
MTND3P5			100873186	ENSG00000251353
MTND3P6			100873182	ENSG00000242214
MTND3P7			100873183	ENSG00000240824
MTND3P8			100873185	ENSG00000232714
MTND3P9			100873184	ENSG00000227557
MTND3P10			100873239	ENSG00000233286
MTND3P11				
MTND3P12				ENSG00000259626
MTND3P13				ENSG00000263196
MTND3P14				
MTND3P15				
MTND3P16				ENSG00000224590
MTND3P17				ENSG00000233134
MTND3P18			107161164	ENSG00000283865
MTND3P19				ENSG00000271480
MTND3P20				ENSG00000220733
MTND3P21				ENSG00000235794
MTND3P22				ENSG00000248946
MTND3P23				ENSG00000238288
MTND3P24				ENSG00000249045
MTND3P25				ENSG00000249192
MTND4LP1		MTND4L2		ENSG00000231501
MTND4LP2				ENSG00000248315
MTND4LP3				ENSG00000239632
MTND4LP4				
MTND4LP5				ENSG00000270350
MTND4LP6				
MTND4LP7				ENSG00000240791
MTND4LP8				
MTND4LP9				ENSG00000227795
MTND4LP10				ENSG00000240084
MTND4LP11				ENSG00000234163
MTND4LP12				ENSG00000236300
MTND4LP13				ENSG00000235318
MTND4LP14				ENSG00000243104
MTND4LP15				
MTND4LP16				ENSG00000234731
MTND4LP17				ENSG00000241221
MTND4LP18				ENSG00000254747
MTND4LP19				ENSG00000219087
MTND4LP20				ENSG00000220514
MTND4LP21				ENSG00000231582
MTND4LP22				ENSG00000248133
MTND4LP23			107133487	
MTND4LP24				ENSG00000262259
MTND4LP25				ENSG00000260067
MTND4LP26				ENSG00000254015
MTND4LP27				
MTND4LP28				
MTND4LP29				
MTND4LP30				ENSG00000198868
MTND4LP31				ENSG00000248259
MTND4LP32				ENSG00000283481
MTND4P1			100873211	ENSG00000228597
MTND4P2			100873188	ENSG00000248704
MTND4P3			100873189	ENSG00000225959
MTND4P4				ENSG00000225295
MTND4P5			100873191	ENSG00000227584
MTND4P6			100873192	ENSG00000224042
MTND4P7			100873195	ENSG00000253257
MTND4P8			100873194	ENSG00000248548
MTND4P9			100873193	ENSG00000250050
MTND4P10			100873256	ENSG00000226663
MTND4P11			100873255	ENSG00000234099
MTND4P12			100293090	ENSG00000247627
MTND4P13			100862853	ENSG00000216713
MTND4P14			100653489	ENSG00000236254
MTND4P15			100873240	ENSG00000227321
MTND4P16			100873241	ENSG00000241787
MTND4P17			100873242	ENSG00000242178
MTND4P18			100873350	ENSG00000228694
MTND4P19			100873351	ENSG00000230338
MTND4P20			100873352	ENSG00000233377
MTND4P21			100873243	ENSG00000231777
MTND4P22			100873244	ENSG00000232772
MTND4P23			100873245	ENSG00000225796
MTND4P24			100873254	ENSG00000232177
MTND4P25			100873246	ENSG00000226700
MTND4P26			100873247	ENSG00000234065
MTND4P27			100873248	ENSG00000230548
MTND4P28			100873249	ENSG00000233709
MTND4P29			100873250	ENSG00000249177
MTND4P30			100873251	ENSG00000227454
MTND4P31			100873252	ENSG00000235382
MTND4P32			100873253	ENSG00000226056
MTND4P33				ENSG00000258762
MTND4P34				ENSG00000262322
MTND4P35				ENSG00000270906
MTND4P36				
MTND4P37				
MTND4P38				
MTND4P39				
MTND4P40				
MTND4P41				
MTND5P1			100873206	ENSG00000227999
MTND5P2			100873209	ENSG00000229622
MTND5P3			100873210	ENSG00000232447
MTND5P4			100873200	ENSG00000251212
MTND5P5			100873201	ENSG00000251149
MTND5P6			100873196	ENSG00000228440
MTND5P7			100873197	ENSG00000230531
MTND5P8			100873198	ENSG00000230999
MTND5P9			100873199	ENSG00000248748
MTND5P10			643031	ENSG00000271687
MTND5P11			100506169	ENSG00000248923
MTND5P12			100873257	ENSG00000251544
MTND5P13			100873272	ENSG00000250169
MTND5P14			100873258	ENSG00000230225
MTND5P15			100873259	ENSG00000231888
MTND5P16			100862854	ENSG00000243658
MTND5P17			100873353	ENSG00000236626
MTND5P18			100873271	ENSG00000227860
MTND5P19			100873270	ENSG00000231199
MTND5P20			100873269	ENSG00000238256
MTND5P21			100873354	ENSG00000255123
MTND5P22			100873260	ENSG00000238046
MTND5P23			100873261	ENSG00000235080
MTND5P24			100873262	ENSG00000224852
MTND5P25			100873263	ENSG00000227348
MTND5P26			100873268	ENSG00000234886
MTND5P27			100873264	ENSG00000225045
MTND5P28			100505755	ENSG00000223549
MTND5P29			100873265	ENSG00000234934
MTND5P30			100873266	ENSG00000233039
MTND5P31			100873267	ENSG00000227841
MTND5P32				ENSG00000259379
MTND5P33				ENSG00000261904
MTND5P34				ENSG00000260147
MTND5P35				ENSG00000258923
MTND5P36				
MTND5P37			107133493	
MTND5P38				
MTND5P39				
MTND5P40				ENSG00000259593
MTND5P41			107075309	ENSG00000253685
MTND5P42				ENSG00000283578
MTND5P43				
MTND5P44				
MTND5P45				
MTND5P46				
MTND6P1			100499469	ENSG00000223955
MTND6P2			106478941	ENSG00000250389
MTND6P3			106478942	ENSG00000254132
MTND6P4			106478943	ENSG00000249119
MTND6P5			106480427	ENSG00000227730
MTND6P6			106478944	ENSG00000240034
MTND6P7			106478945	ENSG00000224695
MTND6P8			106480726	ENSG00000248136
MTND6P9			106478946	ENSG00000233248
MTND6P10			106478947	ENSG00000227275
MTND6P11			106480727	ENSG00000226839
MTND6P12			106481743	ENSG00000235039
MTND6P13			106480428	ENSG00000234901
MTND6P14			106478948	ENSG00000235638
MTND6P15			106478949	ENSG00000225723
MTND6P16			106478950	ENSG00000249893
MTND6P17			106480728	ENSG00000249770
MTND6P18			106478951	ENSG00000227714
MTND6P19			106481788	ENSG00000254384
MTND6P20			106478952	ENSG00000254156
MTND6P21			100873332	ENSG00000223431
MTND6P22			107075261	ENSG00000270230
MTND6P23				
MTND6P24			107063611	ENSG00000232922
MTND6P25				ENSG00000255316
MTND6P26				
MTND6P27				
MTND6P28			107133503	
MTND6P29				ENSG00000283311
MTND6P30				
MTND6P31				
MTND6P32				ENSG00000227649
MTND6P33				ENSG00000262107
MTND6P34				
MTND6P35				
MTND6P36				
MTND6P37				
MTNR1A		MEL-1A-R	4543	ENSG00000168412
MTNR1B			4544	ENSG00000134640
MTO1			25821	ENSG00000135297
MTOHR				
MTOLR				
MTOR	FRAP, FRAP2, FRAP1	RAFT1, RAPT1, FLJ44809	2475	ENSG00000198793
MTOR-AS1	100873935	ENSG00000225602
MTPAP	PAPD1	FLJ10486, mtPAP, SPAX4, TENT6	55149	ENSG00000107951
MTPN		MYOTROPHIN, GCDP, V-1	136319	ENSG00000105887
MTR		cblG	4548	ENSG00000116984
MTREX	KIAA0052, SKIV2L2	Mtr4, Dob1, fSAP118	23517	ENSG00000039123
MTRF1		RF1, MTTRF1, MGC47721	9617	ENSG00000120662
MTRF1L		HMRF1L, mtRF1a	54516	ENSG00000112031
MTRF1LP1			100132520	ENSG00000256091
MTRF1LP2			100130376	ENSG00000224110
MTRNR2L1			100462977	ENSG00000256618
MTRNR2L2			100462981	ENSG00000271043
MTRNR2L3			100462983	ENSG00000256222
MTRNR2L4			100463285	ENSG00000232196
MTRNR2L5			100463289	ENSG00000249860
MTRNR2L6			100463482	ENSG00000270672
MTRNR2L7			100288485	ENSG00000256892
MTRNR2L8			100463486	ENSG00000255823
MTRNR2L9			100463487	ENSG00000255633
MTRNR2L10			100463488	ENSG00000256045
MTRNR2L11			100463489	ENSG00000270188
MTRNR2L12			100463498	ENSG00000269028
MTRNR2L13			100463500	ENSG00000270394
MTRNR3				
MTRR		cblE	4552	ENSG00000124275
MTS1~withdrawn				
MTSS1		KIAA0429, MIMA, MIMB, MIM	9788	ENSG00000170873
MTSS2	MTSS1L	ABBA-1, LOC92154, ABBA	92154	ENSG00000132613
MTTAS				
MTTER				
MTTFH				
MTTFL				
MTTFX				
MTTFY				
MTTP	MTP	ABL	4547	ENSG00000138823
MTURN	C7orf41	FLJ25903, Ells1	222166	ENSG00000180354
MTUS1		MTSG1, KIAA1288, DKFZp586D1519, FLJ14295, ATIP1, MP44, ATBP, ICIS, ATIP3	57509	ENSG00000129422
MTUS2	KIAA0774	TIP150, CAZIP, ICIS	23281	ENSG00000132938
MTUS2-AS1	100874107	ENSG00000179141
MTUS2-AS2				ENSG00000236758
MTX~withdrawn				
MTX1	MTX	MTXN	4580	ENSG00000173171
MTX1P1	MTXP, MTX1P		4581	ENSG00000236675
MTX2			10651	ENSG00000128654
MTX3			345778	ENSG00000177034
MTXP~withdrawn				
MUC1	PUM, MCKD1	CD227, PEM, ADMCKD, ADMCKD1, MCKD, MCD	4582	ENSG00000185499
MUC2			4583	ENSG00000198788
MUC3~withdrawn				
MUC3A	MUC3		4584	ENSG00000169894
MUC3B			57876	
MUC4			4585	ENSG00000145113
MUC5AC		MUC5	4586	ENSG00000215182
MUC5B	MUC5	MG1	727897	
MUC5B-AS1				ENSG00000255177
MUC6			4588	ENSG00000184956
MUC7		FLJ27047, MG2	4589	ENSG00000171195
MUC8			100129528	
MUC9~withdrawn				
MUC11~withdrawn				
MUC12	MUC11		10071	ENSG00000205277
MUC13	DRCC1		56667	ENSG00000173702
MUC15			143662	
MUC16		CA125, FLJ14303	94025	
MUC17			140453	ENSG00000169876
MUC19		FLJ35746	283463	ENSG00000205592
MUC20		FLJ14408, KIAA1359	200958	ENSG00000176945
MUC20-OT1				ENSG00000242086
MUC20P1			651714	ENSG00000224769
MUC21	C6orf205	bCX31G15.2	394263	ENSG00000204544
MUC22		PBMUCL1	100507679	ENSG00000261272
MUCL1		SBEM	118430	
MUCL3	DPCR1	PBLT, bCX105N19.6, C6orf37	135656	ENSG00000168631
MUCRX~withdrawn				
MUL1	C1orf166	FLJ12875, MULAN, RNF218, MAPL, GIDE	79594	ENSG00000090432
MUM1~withdrawn				
MUPP			100129193	ENSG00000237906
MUS81		FLJ44872, SLX3	80198	
MUSK			4593	ENSG00000030304
MUSTN1		Mustang	389125	ENSG00000272573
MUTYH		MYH	4595	ENSG00000132781
MUW53~withdrawn				
MVB12A	FAM125A	FLJ32495	93343	ENSG00000141971
MVB12B	C9orf28, FAM125B	FLJ00001	89853	ENSG00000196814
MVD		MPD	4597	ENSG00000167508
MVK		LRBP, MK	4598	ENSG00000110921
MVP		LRP, VAULT1	9961	ENSG00000013364
MX1		IFI-78K, MxA	4599	ENSG00000157601
MX2		MXB	4600	ENSG00000183486
MXD1	MAD	MAD1, bHLHc58	4084	ENSG00000059728
MXD3		MAD3, bHLHc13	83463	ENSG00000213347
MXD4		MAD4, MSTP149, MST149, bHLHc12	10608	ENSG00000123933
MXI1		MXD2, MAD2, MXI, bHLHc11	4601	ENSG00000119950
MXRA1~withdrawn				
MXRA2~withdrawn				
MXRA3~withdrawn				
MXRA4~withdrawn				
MXRA5		DKFZp564I1922	25878	ENSG00000101825
MXRA5Y	MXRA5P, MXRA5P1	ADLICANP	286544	ENSG00000235649
MXRA6~withdrawn				
MXRA7		FLJ46603, TMAP1, PS1TP1	439921	
MXRA8		DKFZp586E2023	54587	ENSG00000162576
MXS1~withdrawn				
MYADM			91663	ENSG00000179820
MYADML			151325	ENSG00000239649
MYADML2		LOC255275	255275	ENSG00000185105
MYB		c-myb	4602	ENSG00000118513
MYB-AS1	MYBAS, MYB-AS	RP1-32B1.3, NCRNA00209		ENSG00000236703
MYBBP1A		P160, PAP2, FLJ37886, Pol5	10514	ENSG00000132382
MYBL1		AMYB, A-myb	4603	ENSG00000185697
MYBL2		BMYB, B-MYB	4605	ENSG00000101057
MYBPC1			4604	ENSG00000196091
MYBPC2		MYBPCF, MYBPC, MGC163408	4606	ENSG00000086967
MYBPC3	CMH4	MYBP-C, FHC	4607	ENSG00000134571
MYBPH			4608	ENSG00000133055
MYBPHL			343263	ENSG00000221986
MYC		c-Myc, bHLHe39, MYCC	4609	ENSG00000136997
MYCBP		AMY-1	26292	ENSG00000214114
MYCBP2		PAM, KIAA0916, FLJ10106, PHR1	23077	ENSG00000005810
MYCBP2-AS1		100874212	ENSG00000236051
MYCBP2-AS2				ENSG00000229521
MYCBPAP		AMAP-1, DKFZp434N1415	84073	ENSG00000136449
MYCL	MYCL1	LMYC, bHLHe38	4610	ENSG00000116990
MYCLK1~withdrawn				
MYCLP1	MYCL2, MYCL1P1		4611	ENSG00000204053
MYCLP2			645136	ENSG00000228004
MYCLP3	MYCL3		9964	
MYCN	NMYC	bHLHe37, N-myc, MYCNOT	4613	ENSG00000134323
MYCNOS		NCYM, N-CYM, MYCN-AS1	10408	ENSG00000233718
MYCNUT	MYCNUN	lncUSMycN	103752554	ENSG00000223850
MYCP~withdrawn				
MYCT1		MTLC, FLJ21269	80177	ENSG00000120279
MYD88			4615	ENSG00000172936
MYD118~withdrawn				
MYDGF	IL27, IL27w, C19orf10	R33729_1, IL25, SF20, IL-25, IL-27	56005	ENSG00000074842
MYEF2		MEF-2, FLJ11213, KIAA1341, HsT18564	50804	ENSG00000104177
MYEOV		OCIM	26579	ENSG00000172927
MYETS1~withdrawn				
MYF3~withdrawn				
MYF5		bHLHc2	4617	ENSG00000111049
MYF6		MRF4, bHLHc4	4618	ENSG00000111046
MYH1		MYHSA1, MYHa, MyHC-2X/D, MGC133384	4619	ENSG00000109061
MYH2	IBM3	MYH2A, MYHSA2, MyHC-IIa, MYHas8, MyHC-2A	4620	ENSG00000125414
MYH3		MYHC-EMB, MYHSE1, HEMHC, SMHCE	4621	ENSG00000109063
MYH4		MYH2B, MyHC-2B, MyHC-IIb	4622	ENSG00000264424
MYH5~withdrawn				
MYH6			4624	ENSG00000197616
MYH7	CMH1, MPD1	CMD1S	4625	ENSG00000092054
MYH7B		KIAA1512, dJ756N5.1, MYH14, MHC14	57644	ENSG00000078814
MYH8		MyHC-peri, MyHC-pn	4626	ENSG00000133020
MYH9	DFNA17	NMMHCA, NMHC-II-A, MHA, FTNS, EPSTS	4627	ENSG00000100345
MYH10		NMMHCB	4628	ENSG00000133026
MYH11		SMMHC, SMHC	4629	ENSG00000133392
MYH12~withdrawn				
MYH13		MyHC-eo	8735	ENSG00000006788
MYH14	DFNA4	FLJ13881, KIAA2034, MHC16, MYH17	79784	ENSG00000105357
MYH15		KIAA1000	22989	ENSG00000144821
MYH16	MYH5	MHC20, MYH16P	84176	ENSG00000002079
MYHAS			100128560	ENSG00000272975
MYHK~withdrawn				
MYHL~withdrawn				
MYL1			4632	ENSG00000168530
MYL2		CMH10	4633	ENSG00000111245
MYL3		CMH8, VLC1, MLC1V, MLC1SB	4634	ENSG00000160808
MYL4		ALC1, AMLC, GT1, PRO1957	4635	ENSG00000198336
MYL5			4636	ENSG00000215375
MYL6		ESMLC, MLC3NM, MLC1SM	4637	ENSG00000092841
MYL6B		MLC1SA	140465	ENSG00000196465
MYL6BP1			100422437	ENSG00000228380
MYL6P1	MYL6P		54043	ENSG00000226543
MYL6P2			100431168	ENSG00000235808
MYL6P3			100129561	ENSG00000227173
MYL6P4			642627	ENSG00000240677
MYL6P5			124685	ENSG00000228118
MYL7		MYLC2A, MYL2A	58498	ENSG00000106631
MYL8P		BING3	442204	ENSG00000229596
MYL9		MYRL2, MLC2, LC20, MRLC1	10398	ENSG00000101335
MYL10		MGC3479, MYLC2PL, PLRLC	93408	ENSG00000106436
MYL12A		MLCB, MYL2B, MRLC3, MRCL3	10627	ENSG00000101608
MYL12AP1			157667	ENSG00000254387
MYL12B		MRLC2	103910	ENSG00000118680
MYL12BP1			645094	ENSG00000260490
MYL12BP2			391722	ENSG00000227765
MYLIP		MIR, IDOL	29116	ENSG00000007944
MYLK		MLCK, smMLCK, MYLK1, MLCK1	4638	ENSG00000065534
MYLK-AS1			100506826	ENSG00000239523
MYLK-AS2				ENSG00000250174
MYLK2		skMLCK, KMLC, MLCK2	85366	ENSG00000101306
MYLK3		caMLCK, MLCK	91807	ENSG00000140795
MYLK4		SgK085	340156	ENSG00000145949
MYLKP1	MYLKP		9430	ENSG00000228868
MYLL1~withdrawn				
MYLPF		MRLC2, HUMMLC2B, MYL11	29895	ENSG00000180209
MYMK	TMEM8C	TMEM226	389827	ENSG00000187616
MYMX		MINION	101929726	ENSG00000262179
MYMY1	MYMY			
MYMY2~withdrawn				
MYMY3				
MYNN		SBBIZ1, ZBTB31, ZNF902	55892	ENSG00000085274
MYO1A	MYHL, DFNA48		4640	ENSG00000166866
MYO1B		myr1	4430	ENSG00000128641
MYO1C		myr2	4641	ENSG00000197879
MYO1D		KIAA0727, myr4, PPP1R108	4642	ENSG00000176658
MYO1E		MYO1C, HuncM-IC, MGC104638	4643	ENSG00000157483
MYO1F			4542	ENSG00000142347
MYO1G		HA-2	64005	ENSG00000136286
MYO1H		FLJ37587	283446	ENSG00000174527
MYO3A	DFNB30		53904	ENSG00000095777
MYO3B			140469	ENSG00000071909
MYO3B-AS1			101929753	ENSG00000231898
MYO5A	MYH12	MYO5, GS1, MYR12	4644	ENSG00000197535
MYO5B		KIAA1119	4645	ENSG00000167306
MYO5BP1			441420	ENSG00000274680
MYO5BP2			392335	ENSG00000238245
MYO5BP3			441442	ENSG00000228656
MYO5C		MGC74969	55930	ENSG00000128833
MYO6	DFNA22, DFNB37	KIAA0389	4646	ENSG00000196586
MYO7A	USH1B, DFNB2, DFNA11	NSRD2	4647	ENSG00000137474
MYO7B			4648	ENSG00000169994
MYO9A		FLJ11061, FLJ13244, MGC71859	4649	ENSG00000066933
MYO9B	CELIAC4		4650	ENSG00000099331
MYO10		KIAA0799	4651	ENSG00000145555
MYO15A	DFNB3, MYO15		51168	ENSG00000091536
MYO15B		MYO15BP	80022	ENSG00000266714
MYO16		MYR8, KIAA0865, Myo16b, NYAP3, PPP1R107	23026	ENSG00000041515
MYO16-AS1		100885782	ENSG00000236242
MYO16-AS2				ENSG00000229938
